cpower1,cspeed1,c1 LED,c1 VED,cpower2,cspeed2,c2 LED,c2 VED,angle,eta_SID,rho_s_SID,sig_s_SID,Sa,Sq,Ssk,Sku,sigma_s_rho,Sdq,Sdr
0,4000,0,0,35,2500,0.014,0.35,60,0.0638,0.6327,32.1987,26.199,32.6661,0.1605,3.1794,50.89094358,75.717,481.853
0,4000,0,0,35,2500,0.014,0.35,65,0.0665,0.5925,29.4032,23.856,30.1447,-0.0776,3.3293,49.62565401,78.203,691.35
0,4000,0,0,35,2500,0.014,0.35,70,0.0595,0.6218,31.3393,24.764,30.5701,0.3158,2.8134,50.40093278,75.72,481.88
0,4000,0,0,35,2500,0.014,0.35,75,0.0625,0.6198,26.4056,20.8477,26.7579,0.4302,3.5941,42.60342046,75.054,444.168
0,4000,0,0,35,2500,0.014,0.35,80,0.0615,0.5735,30.0679,22.6205,29.9917,0.568,4.8012,52.42877071,77.084,589.491
0,4000,0,0,35,2500,0.014,0.35,85,0.0635,0.5778,26.6939,20.5982,26.9468,0.396,4.438,46.19920388,77.12,594.337
0,4000,0,0,35,2500,0.014,0.35,90,0.0621,0.6062,24.3114,18.775,24.5374,-0.03,3.7291,40.10458595,75.58,479.191
0,4000,0,0,35,1666.666667,0.021,0.525,0,0.101,0.9355,29.7992,24.1482,32.9987,1.5678,5.7049,31.85376804,67.273,184.088
0,4000,0,0,35,1666.666667,0.021,0.525,5,0.0949,0.7978,41.6475,32.7952,42.6095,0.3267,3.1546,52.20293307,72.875,327.884
0,4000,0,0,35,1666.666667,0.021,0.525,10,0.0729,0.6899,38.1882,29.926,40.8435,1.2042,6.7242,55.3532396,76.509,523.304
0,4000,0,0,35,1666.666667,0.021,0.525,15,0.0689,0.6818,38.8024,32.3218,41.8167,0.6919,4.0565,56.91170431,77.239,581.84
0,4000,0,0,35,1666.666667,0.021,0.525,20,0.0689,0.6193,42.8783,34.7898,45.6605,0.8813,4.7444,69.23671888,78.876,719.232
